Process,MEC,THE,ELE,MAG,CHE,RAD,TIME_1,TIME_2,VOL_CHANGE,VOL_1,VOL_2,TOOL_SPE,SURFQ_1,SURFQ_2,IT_1,IT_2,MET,POLYMER,WOOD,CERAMIC,GLASS,GEOM_COM,TOOL_COST,EQUIP_COST,DEF,REM,ADD
Sheet Metal Shearing,1,0,0,0,0,0,1,2,0,4,6,0,4,6,10,11,1,0,0,0,0,1,2,1,0,1,0
Pressure Die casting,2,4,0,0,0,0,3,4,1,4,9,1,2,3,12,15,1,0,0,0,1,3,4,4,1,0,0
Sand Casting,0,4,0,0,0,0,2,3,1,4,9,1,3,4,14,16,1,0,0,0,1,2,1,1,1,0,0
Blow molding Extrusion,1,1,0,0,0,0,3,4,1,4,5,1,6,7,9,14,0,1,0,0,1,3,2,2,1,0,0
Brazing,0,1,0,0,0,0,2,3,2,4,5,0,2,3,6,11,1,0,0,0,0,1,1,1,0,0,1
Selective Laser Sintering,0,3,0,0,0,2,3,6,2,5,9,0,3,4,10,13,1,0,0,1,1,2,0,3,0,0,1
Soldering,0,3,2,0,0,0,3,4,2,3,4,0,2,6,8,10,1,0,0,0,0,1,1,1,0,0,1
Adhesive Bonding,0,0,0,0,1,0,3,4,1,0,9,0,1,2,5,6,1,1,1,1,1,1,1,1,1,0,0
Injection molding,3,2,0,0,0,0,2,3,1,4,11,1,3,4,9,14,1,1,0,1,1,2,4,4,1,0,0
Electrical discharge machining,0,5,4,1,0,0,4,5,0,2,3,0,4,5,5,7,1,0,0,1,1,2,3,3,0,1,0
Stereolithography,0,0,0,0,1,3,4,5,2,4,5,0,2,3,6,8,0,1,0,1,1,3,0,2,0,0,1
Incremental forming,3,0,0,0,0,0,2,3,1,4,9,0,3,5,8,9,1,1,0,0,0,1,1,2,1,0,0
Directed-energy deposition,0,3,0,0,0,2,4,5,2,4,6,0,4,6,9,10,1,0,0,0,0,2,4,4,0,0,1
Fused deposition modeling,1,3,2,0,0,0,4,5,2,3,4,0,3,4,11,15,1,1,0,1,1,2,0,1,0,0,1
CLIP,0,0,0,0,1,4,3,4,2,2,4,0,3,5,6,8,0,1,0,0,0,3,0,2,0,0,1
Shell Moulding,1,4,0,0,0,0,2,3,1,6,11,1,2,3,6,10,1,1,0,0,0,3,1,2,1,0,0
Compression molding,1,1,0,0,1,0,3,4,1,9,11,1,3,5,7,10,0,1,0,0,1,2,2,2,1,0,0
Micromachining,1,0,0,1,0,0,3,5,0,0,2,0,2,4,4,6,1,0,0,0,0,1,4,2,0,1,0
Tribofilm deposition,0,0,0,0,1,0,4,5,2,4,9,1,2,3,7,8,1,0,0,0,0,1,2,2,0,0,1
LIPMM,0,5,0,1,1,3,1,4,0,4,5,0,3,4,2,5,1,1,0,1,0,1,0,4,0,1,0
Laser polishing,0,4,0,0,0,2,1,3,1,3,4,0,1,2,3,7,1,0,0,1,1,1,4,4,1,0,0
Micro-injection molding,4,2,0,0,0,0,1,3,1,0,3,1,0,2,6,10,0,1,0,0,1,2,2,4,1,0,0
Binderjet printing,0,0,0,0,2,0,4,5,2,6,11,0,4,5,11,15,1,1,0,0,0,3,0,2,0,0,1
Pultrusion,1,2,0,0,0,0,3,4,1,5,6,0,3,4,9,15,0,0,0,1,1,0,1,1,1,0,0
Ceramic extrusion,2,0,0,0,0,0,3,6,1,3,5,1,2,3,5,8,0,0,0,1,0,0,2,2,1,0,0
Microcutting,1,0,0,0,0,0,3,4,0,3,4,0,3,5,4,7,1,0,0,1,1,2,3,2,0,1,0
Waterjet laser forming,5,1,0,0,0,0,3,3,0,4,5,0,3,5,8,10,0,1,1,1,1,2,3,2,0,1,0
Resing Transfer Molding,3,0,0,0,2,0,3,5,1,4,5,1,4,5,8,10,0,1,0,0,0,1,2,2,1,0,0
Robotic Welding,2,4,0,0,0,0,4,5,2,5,7,0,3,4,8,10,1,0,0,0,0,1,1,3,0,0,1
